CourseTitle,Description,Availability,Cost
Design and Development of Educational Technology,"To be effective, educational technologies must be designed based on what we know about how people learn. Through interviews with experts in the field, this course explores educational technologies,...",On demand,Free
Computer Science 101,"CS101 teaches the essential ideas of Computer Science for a zero-prior-experience audience. The course uses small coding experiments in the browser to play with the nature of computers, understandi...",On demand,Free
Introduction to Family Engagement in Education,"In this education course, you will learn what family engagement is and why it matters to the success of students and schools. We will explore the research linking family engagement to better educat...",In Session,Free
Supply Chain Analytics,Supply chains are complex systems involving multiple businesses and organizations with different goals and objectives. Many different analytical methods and techniques are used by researchers and p...,In Session,Free
Introduction to Aeronautical Engineering,"This course provides an overview of and introduction to the fundamentals of aeronautics, using the history of aviation as a story line. The course uses examples from the very beginning of aviation ...",In Session,Free
China (Part 2): The Creation and End of Centralized Empire,"China (Part 2): The Creation and End of Centralized Empire  is the second of ten parts of ChinaX, that collectively span over 6,000 years of history. Each part consists of 4 to 8 weekly ""modules,"" ...",On demand,Free
How to Win Coding Competitions: Secrets of Champions,"Want to be the programmer hot tech companies are looking for? 

 Take your programming skills to the next level and prove your excellence by learning how to succeed in programming competitions. 
...",Upcoming,Free
Shylock’s Bond,Harvard professor Stephen Greenblatt (John Cogan University Professor of the Humanities) guides learners through an exploration of Shakespeare’s unforgettable character Shylock in The Merchant of V...,In Session,Free
Introduction to Biomedical Imaging,"Imaging technologies form a significant component of the health budgets of all developed economies, and most people need advanced imaging such as MRIs, X-Rays and CT Scans (or CAT Scans) during the...",In Session,Free
Effective Use of Interactive Whiteboards,"Important Announcement! 
 
On Tuesday, 1 August this course will be transitioned to a new course here on OpenLearning using the most recent interface.  This brings with it a large number of improv...",On demand,Free
Statistics for Business – I,"Statistics is a versatile discipline that has revolutionized the fields of business, engineering, medicine and pure sciences. This course is Part 1 of a 4-part series on Business Statistics, and is...",On demand,Free
International Investment Law,"Are you aware of the controversial situations facing States and foreign investors nowadays in relation to, for instance, the protection of public health and the environment? Do you recall recent ca...",Upcoming,Free
Autonomous Navigation for Flying Robots,"In recent years, flying robots such as miniature helicopters or quadrotors have received a large gain in popularity. Potential applications range from aerial filming over remote visual inspection o...",On demand,Free
Embedded Systems - Shape The World,"Learn how electronic gadgets are designed, developed, and built as embedded systems that shape the world. 

 This is a hands-on, learn-by-doing course that shows you how to build solutions to rea...",On demand,Free
Circuits and Electronics 3: Applications,"Want to learn how your radio works? Wondering how to implement filters using resistors, inductors, and capacitors? Wondering what are some other applications of RLC and CMOS circuits? This free cir...",In Session,Free
Cell Biology: Mitochondria,"The cell is a powerful case study to help us explore the functional logic of living systems. All organisms, from single-celled algae to complex multicellular organisms like us, are made up of cells...",In Session,Free
Fundamentals of Clinical Trials,"This course will provide an introduction to the scientific, statistical, and ethical aspects of clinical trials research. Topics include the design, implementation, and analysis of trials, includin...",On demand,Free
First Nights: Handel’s Messiah and Baroque Oratorio,"While Italian opera set the standard in the Baroque era, German composer George Frederic Handel quickly gained popularity for his oratorios, which put operatic techniques to work in the service of ...",On demand,Free
Master Control in Supply Chain Management and Logistics,Logistics and supply chain structures can be found in virtually any system. A supply chain is a complex environment with a multitude of forces and variables with various degrees of dependence. Unfo...,On demand,Free
Découvrir la science politique,"Le politique nous concerne tous : chaque jour, des décisions publiques sont adoptées qui impactent notre quotidien. Dans quel contexte ces décisions sont-elles adoptées ? Au 21ème siècle, de nombre...",In Session,Free
Backend in Node.js,"You know JavaScript. Now go fullstack in pure JavaScript.

Node.js is the perfect skill to unlock incredible career opportunities for
software developers. Tech companies like Yahoo, Microsoft, L...",On demand,$500
Academic and Business Writing,"College Writing 2.2x continues the introduction to academic and business writing for English Language Learners. In this part of the course, students focus on understanding the demands of different ...",In Session,Free
The Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public?,Do you love printed paper and wonder how much longer it will survive in the age of ebooks? Are you curious about how the mass-produced modern book emerged in the first place?&nbsp; Come behind the ...,On demand,Free
Global Health Case Studies from a Biosocial Perspective,This introductory global health course aims to frame global health's collection of problems and actions within a particular biosocial perspective. It develops a toolkit of interdisciplinary analyti...,On demand,Free
Fundamentals of Project Planning and Management,"Projects are all around us. Virtually every organization runs projects, either formally or informally. We are engaged in projects at home and at work. Across settings, planning principles and execu...",Upcoming,Free
HTML5 and CSS Fundamentals,"This course was developed in partnership between W3C and Intel®. 

 Learn the basics of Web design and style to give your Web sites a professi onal look and feel.&nbsp;The Intel® XDK team and exp...",In Session,Free
Dying2Learn,"Are death and dying changing in the 21st century?  Is how we think about death changing?  
  
             > Think about the language we use when we talk about dying 
            > Learn about how...",In Session,Free
Minds and Machines,"What is the relationship between the mind and the body? Can computers think? Do we perceive reality as it is? Can there be a science of consciousness? 

 This course explores these questions and ...",Upcoming,Free
Web Development,"Try to picture yourself sitting down with your computer, ready to start developing a fully functional web application for the first time, available online for millions to use. “Where should I even ...",On demand,Free
"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",This MITx course was developed in collaboration with HarvardX and is co-taught by MIT and Harvard historians. You will examine Japanese history in a new way—through the images created by those who ...,In Session,Free
The Book: The History of the Book in the 17th and 18th Century Europe,"This module of  The Book: Histories Across Time and Space &nbsp;focuses on the physical qualities of books, the role of books in 17th and 18th century France, and the emergence of literature as a m...",On demand,Free
Language Revival: Securing the Future of Endangered Languages,"Language is an integral part of society. Wherever we come from, the words we use and the way in which we use them are fundamental to our cultural identity. In today’s increasingly globalised world,...",In Session,Free
Aboriginal Worldviews and Education,This course will explore indigenous ways of knowing and how this knowledge can inform education to the benefit of all students.,On demand,Free
Science in Art: The Chemistry of Art Materials and Conservation,"How do artists create visual effects? In order to create an artistic impression, artists select materials that allow image formation, and that lend color, emphasis, shape, and size to the object cr...",On demand,Free
Statistical Inference and Modeling for High-throughput Experiments,"In this course you’ll learn various statistics topics including multiple testing problem, error rates, error rate controlling procedures, false discovery rates, q-values and exploratory data analys...",In Session,Free
Statistical Learning,"This is an introductory-level course in supervised learning, with a focus on regression and classification methods.  The syllabus includes: linear and polynomial regression, logistic regression and...",TBA,Free
"Circuits and Electronics 2: Amplification, Speed, and Delay","Want to learn how to construct an amplifier for mobile phones? Wondering how energy storage elements like capacitors and inductors work, or how to make microchips run faster? This free circuit cour...",In Session,Free
Introduction to Programming for the Visual Arts with p5.js,"This course is an introduction to writing code within the context of the visual arts. It asks two primary questions: 

 What is the potential of software within the visual arts? 
As a designer o...",Upcoming,Free
Chinese Politics Part 1 – China and Political Science,"This course offers a conceptual framework for understanding China that highlights the intersection of politics and economics. It shows that rather than develop into a full blown market economy, sta...",Upcoming,Free
Fundamentals of Neuroscience Part 1: Electrical Properties of the Neuron,"Fundamentals of Neuroscience is a three part course that explores the structure and function of the nervous system -- from the microscopic inner workings of a single nerve cell, to the staggering c...",On demand,Free
How Green Is That Product? An Introduction to Life Cycle Environmental Assessment,"In this course you will learn the basics of the life-cycle assessment (LCA) method for holistic environmental analysis of products, technologies, and systems. LCA sheds light on the environmental i...",On demand,Free
Basic Statistics,"Understanding statistics is essential to understand research in the social and behavioral sciences. In this course you will learn the basics of statistics; not just how to calculate them, but also ...",Upcoming,Free
Digging Deeper: Making Manuscripts,"Digging Deeper: Making Manuscripts  introduces you to the study of early text technologies, focusing principally on the medieval book, but covering other textual objects, too, such as scrolls and d...",TBA,Free
Analyzing Big Data with Microsoft R Server,"This course is part of the   Microsoft Professional Program Certificate in Big Data ,  and the   Microsoft Professional Program Certificate in Data Science  .&nbsp; 

 The open-source programming...",In Session,Free
Artificial Intelligence (AI),"What do self-driving cars, face recognition, web search, industrial robots, missile guidance, and tumor detection have in common? 

 They are all complex real world problems being solved with app...",Upcoming,Free
"HTML, CSS, and Javascript for Web Developers","Do you realize that the only functionality of a web application that the user directly interacts with is through the web page? Implement it poorly and, to the user, the server-side becomes irreleva...",Upcoming,Free
Understanding Plants - Part I: What a Plant Knows,For centuries we have collectively marveled at plant diversity and form—from Charles Darwin’s early fascination with stems and flowers to Seymour Krelborn’s distorted doting in Little Shop of Horro...,Upcoming,Free
Découvrir l'anthropologie,Comment les humains s’organisent-ils en sociétés ? Qu’appelle-t-on « familles » et comment se constituent-elles ? Quel regard et quels types d’analyse l’anthropologie propose-t-elle sur les système...,In Session,Free
Video Game Design History,"Video games as a medium go back more than 50 years to mainframe computers. Even the central design of video games can be traced back to the first games themselves. 

 To be a good game designer, ...",Upcoming,Free
Future Cities,"Understanding a city as a whole, its people, components, functions, scales and dynamics, is crucial for the appropriate design and management of the urban system. While the development of cities in...",In Session,Free
LAFF – On Programming for Correctness,Is my program correct?&nbsp; Will it give the right output for all possible permitted inputs?&nbsp; Computers are now essential in everyday life.&nbsp; Incorrect programs lead to frustration in the...,On demand,Free
Computer Networking - Wired and Wireless Networks and Protocols,The free online course Computer Networking - Wired and Wireless Networks and Protocols introduces you in a step-by-step manner to the structure and function of wired and wireless networks and their...,On demand,Free
Shaping the Future of Work,"The goal of this course is to explore and develop plans of action for improving the job and career opportunities for today and tomorrow’s workforce. At this time, there aren’t enough good jobs or e...",On demand,Free
Tsunamis and Storm Surges: Introduction to Coastal Disasters,"In 2011, a magnitude 9.0 earthquake triggered a major tsunami that devastated northeast Japan, killing more than 15,000 people and crippling a nuclear power plant. 

 Natural disasters like this ...",On demand,Free
Media LIT: Overcoming Information Overload,"Media literacy helps us understand, analyze and create media. While we rely on good journalism to provide accurate information, we also have responsibilities of our own in this media-saturated envi...",On demand,Free
Fundamentals of Neuroscience Part 2: Neurons and Networks,In this second module&nbsp;we will explore how neurons communicate with each other.&nbsp; We will investigate the collective behavior of neurons in small circuits and ways in which signals between ...,On demand,Free
Personal Finance,"Have you ever watched the evening news and wondered what the anchor meant when she said: “…and the Dow closed 50 points in choppy trading today.” 

 Have you ever watched Mad Money on CNBC as the...",On demand,Free
Understanding Classroom Interaction,"Have you ever wondered why some classroom discussions are lively and engaging and others more like painful interrogations? Why some students always have an answer ready, but others never participat...",On demand,Free
Innovating in Health Care,"Problems with healthcare quality, access, and costs bedevil all countries. This course explores how to create successful global business innovations in health care that can better meet consumer and...",On demand,Free
Greeks at War: Homer at Troy,"Homer’s account of the Trojan War in the&nbsp; Iliad &nbsp;explores the effects of warfare&nbsp;upon Greeks and Trojans alike. It illustrates not only the challenges that the&nbsp;combatants faced,...",On demand,Free
The Basics of Transport Phenomena,"Have you ever wondered why ventilation helps to cool down your hot chocolate? Do you know why a surfing suit keeps you warm? Why iron feels cold, while wood feels warm at room temperature? Or how a...",On demand,Free
Engineering Mechanics,"Are you interested in improving your mechanics or introducing yourself to the subject all together? Join our unique course, devised by the Ural Federal University. Through our innovative approach, ...",On demand,Free
Supply Chain Design,"This Supply Chain Design course is part of the  MITx MicroMasters Credential in Supply Chain Management , offered by #1 ranked SCM Master's program at the Massachusetts Institute of Technology. 

...",In Session,Free
People Management for Entrepreneurs,"All entrepreneurs, by definition, are people managers. As founders and owners, they hire people, groom them, motivate them, and harness their talent towards effective management of enterprise. Yet ...",In Session,Free
China (Part 1): Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists,"China (Part 1): Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists  is the first of ten parts of ChinaX, that collectively span over 6,000 years of history. ...",On demand,Free
MyCS: Computer Science for Beginners,How do computers work? What do computer scientists do? &nbsp;What does it take to make a computer or a computer program work? We answer these questions and more with MyCS: Computer Science for Begi...,On demand,Free
Introduction to Bioethics,Should we clone humans? What should we think of the coming genetic revolution? How much control should we have over how and when we die? When does medical treatment turn into medical enhancement — ...,In Session,Free
Introduction to Computer Numerical Control,"Computer Numerical Control (CNC) Machining is the process through which computers control machine-based processes in manufacturing. The kinds of machines controlled include lathes, mills, routers a...",In Session,Free
Understanding Classroom Interaction,"Have you ever wondered why some classroom discussions are lively and engaging and others more like painful interrogations? Why some students always have an answer ready, but others never participat...",In Session,Free
The Rise of Superheroes and Their Impact On Pop Culture,"Join the Smithsonian, and comic book industry legend Stan Lee, in this self-paced course to explore the history of the comic book and the rise of superheroes. 

 The ancient gods of Egyptian, Gre...",In Session,Free
"China (Part 10): Greater China Today: The People's Republic, Taiwan, and Hong Kong","China (Part 10): Greater China Today: The People's Republic, Taiwan, and Hong Kong  is the tenth of ten parts of ChinaX, that collectively span over 6,000 years of history. Each part consists of 4 ...",On demand,Free
Machine Learning: Clustering & Retrieval,"Case Studies: Finding Similar Documents

A reader is interested in a specific news article and you want to find similar articles to recommend.  What is the right notion of similarity?  Moreover, wh...",Upcoming,Free
The Next Generation of Infrastructure,"We increasingly depend on reliable and affordable supply of energy, water, transport, telecommunication and information services to improve livability and facilitate economic development. However, ...",On demand,Free
Architecting Microsoft Azure Solutions,"Azure is Microsoft’s cloud computing platform, a growing collection of integrated services—analytics, computing, database, mobile, networking, storage, and web—for moving faster, achieving more, an...",Upcoming,Free
Enhancing Teacher Education Through OER,"All over the world, including India, there is an aspiration that every student should be actively engaged in their learning. Achieving this aspiration demands highly skilled teachers and quality te...",On demand,Free
Osteoarchaeology: The Truth in Our Bones,"This course is about what we can learn from examining the human skeleton, and how we can use this knowledge to reconstruct the lives of people who lived in the past. In archaeology and anthropology...",In Session,Free
Introduction to Differential Equations,"Phenomena as diverse as the motion of the planets, the spread of a disease, and the oscillations of a suspension bridge are governed by differential equations. MATH226x is an introduction to the ma...",On demand,Free
"Fundamentals of Photography - DVD, digital video course","Taking great photographs requires you to ""see"" as a professional photographer does; to train your eyes using the same fundamental techniques and principles the experts use to create unforgettable i...",On demand,$269.95
Applied Cryptography,"Cryptography is present in everyday life, from paying with a credit card to using the telephone. Learn all about making and breaking puzzles in computing.",On demand,Free
Data-driven Astronomy,"Science is undergoing a data explosion, and astronomy is leading the way. Modern telescopes produce terabytes of data per observation, and the simulations required to model our observable Universe ...",Upcoming,Free
Genomics: Decoding the Universal Language of Life,"What is a genome? A genome contains all of the information that a cell needs to develop, function, and reproduce itself, and all the information needed for those cells to come together to form a pe...",Upcoming,Free
"Capstone: Retrieving, Processing, and Visualizing Data with Python","In the capstone, students will build a series of applications to retrieve, process and visualize data using Python.   The projects will involve all the elements of the specialization.  In the first...",Upcoming,Free
"English for Science, Technology, Engineering, and Mathematics","Welcome to English for Science, Technology, Engineering, and Mathematics, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cu...",Upcoming,Free
Learn to Paint with Len Hend ADVANCED,"""Painting is a skill that everyone can learn.""  
  Do you remember these words you heard in  Learn to paint with Len Hend?     They are not only super encouraging but also demonstrating that no mat...",On demand,Free
English Essay Writing,"Being able to write effective, persuasive, and lucid essays is a vital skill
that we all need, irrespective of the subject we study. By following the
tactics and techniques taught in this course,...",On demand,£79.99
Introduction to Programming with Python,Computer programming skills are now becoming part of basic education as these skills are increasingly of vital importance for future job and career prospects. This free online course introduces you...,On demand,Free
"The Everyday Gourmet: Rediscovering the Lost Art of Cooking - DVD, digital video course","It’s rare to find a truly gifted chef who can actually show you how to cook. Now, The Great Courses has joined forces with the prestigious Culinary Institute of America to give you just that. The E...",On demand,$269.95
"The Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script","Thousands upon thousands of manuscripts written in Latin and other languages remain from the 12th century, when Western Europe saw an unprecedented increase in manuscript production. Of these manus...",On demand,Free
The Book: Making and Meaning in the Medieval Manuscript,"As books “go digital,” we can appreciate what is gained in terms of convenience, accessibility and interconnectedness. However, we should also consider what is lost as texts transition to a digital...",On demand,Free
Early Christianity: The Letters of Paul,"The letters of Paul are the earliest texts in the Christian scriptures, written by a Jew at a time when the word “Christian” hadn’t yet been coined. What is the religious and political context into...",On demand,Free
The Biology of Water and Health – Fundamentals,The Biology of Water and Health from Tufts University is a water sustainability course (PH241x) that examines increasingly critical water-related issues through a distinctly global and interdiscipl...,On demand,Free
Fundamentals of Nanoelectronics: Basic Concepts,"The modern smartphone is enabled by a billion-plus nanotransistors, each having an active region that is barely a few hundred atoms long. Interestingly the same amazing technology has also led to a...",On demand,Free
Ancient Philosophy: Plato & His Predecessors,"What is philosophy?  How does it differ from science, religion, and other modes of human discourse?  This course traces the origins of philosophy in the Western tradition in the thinkers of Ancient...",Upcoming,Free
Introduction to Forensic Science,"## 

 The course addresses four major evidence types: drugs of abuse, DNA, firearms and impression evidence, and discusses these through the exploration of a case-based scenario presented across a ...",Upcoming,Free
Virtual Currencies: A Case Study of Bitcoin,Bitcoin is a type of digital currency that can be used in electronic payment systems. It is a crypto-currency that relies on sophisticated cryptographic methods to create and manage the currency.  ...,On demand,Free
Ancient Philosophy: Aristotle and His Successors,"What is philosophy?  How does it differ from science, religion, and other modes of human discourse?  This course traces the origins of philosophy in the Western tradition in the thinkers of Ancient...",Upcoming,Free
Mechanics: Rotational Dynamics,This course is the third of a series of modules that cover calculus-based mechanics. You will explore rotational motion and learn about the concepts of torque and angular momentum. You will learn a...,Upcoming,Free
Python,"Python is a powerful and expressive language that has very simple syntax. If
you're unsure of which programming language to learn, Python is a great
choice. The language is used in a variety of d...",On demand,Free
"Mechanical Behavior of Materials, Part 1: Linear Elastic Behavior","All around us, engineers are creating materials whose properties are exactly tailored to their purpose. This course is the first of three in a series of mechanics courses from the Department of Mat...",In Session,Free
Our Energetic Earth,"We live on the surface of a dynamic and yet paradoxically stable planet that experiences a remarkable range of energetic phenomena, from waves and currents in the ocean to wind and thunderstorms in...",On demand,Free
TOEFL® Test Preparation: The Insider’s Guide,"This test preparation course, developed by the experts who create, administer and score the TOEFL test, will help English language learners improve their skills. 

 The TOEFL test is the world’s ...",In Session,Free
IELTS Academic Test Preparation,"IELTS  is the world's most popular English language test for those wanting to study in higher education in an English-speaking country. 

 This IELTS course will prepare you to take the IELTS Aca...",In Session,Free
Implementing Predictive Analytics with Spark in Azure HDInsight,"This course is part of the   Microsoft Professional Program Certificate in Data Science ,&nbsp; the&nbsp; Microsoft Professional Program Certificate in Big Data ,&nbsp;and part of the   Microsoft A...",Upcoming,Free
"Myths, Lies, and Half-Truths of Language Usage - DVD, digital video course","In Myths, Lies, and Half-Truths of Language Usage, acclaimed linguist and Professor John McWhorter dispels the cloud of confusion that clings to English and gives you a crystal-clear view of why we...",On demand,$254.95
Anthropology of Current World Issues,This course will allow you to better understand the world around you through utilising the anthropological lens. You will learn about the way in which anthropology as a discipline can shed new pers...,In Session,Free
Introduction to Project Management,Project management is an essential skill-set for many careers and in many contexts in our lives. Introduction to Project Management is an ideal starting point if you need to manage projects at work...,In Session,Free
Humanitarian Response to Conflict and Disaster,"From the Syrian refugee crisis to the West Africa Ebola outbreak, humanitarian emergencies have reached unprecedented dimensions and proportions. As need for humanitarian aid grows, how can efforts...",TBA,Free
AP® Biology - Part 1: The Cell,Preparing for the AP Biology exam requires a deep understanding of many different topics in biology as well as an understanding of the format of the AP exam and the types of questions it asks.&nbsp...,On demand,Free
Business Writing,Writing well is one of the most important skills you can learn for success in the business world. Knowing how to write well allows you to deliver your ideas with the power they deserve. Good writin...,Upcoming,Free


